rand,randint,randn
0.9999999994297322,-10.0,0.05860325719412544
0.5233659418608325,-10.0,0.05860325719412544
0.5233659418608325,2.0,0.05860325719412544
0.9999999994297322,-10.0,4.753424308817087
0.9999999994297322,9.0,0.05860325719412544
0.0,2.0,4.753424308817087
0.9999999994297322,-1.0,4.753424308817087
0.9999999994297322,-1.0,4.753424308817087
0.0,2.0,4.753424308817087
0.0,-10.0,4.753424308817087
0.9999999994297322,2.0,-4.753424308822899
0.0,2.0,-4.753424308822899
0.0,2.0,4.753424308817087
0.0,2.0,4.753424308817087
0.9999999994297322,-10.0,4.753424308817087
0.9999999994297322,2.0,4.753424308817087
0.5233659418608325,-10.0,-4.753424308822899
0.0,-10.0,4.753424308817087
0.6214115672692287,2.0,0.30919017730102455
0.0,-10.0,0.30919017730102455
0.6214115672692287,-1.0,1.5470409448160565
0.0,-1.0,1.5470409448160565
0.6214115672692287,-1.0,-4.753424308822899
0.0,-1.0,0.30919017730102455
0.6214115672692287,2.0,4.753424308817087
0.0,-1.0,0.30919017730102455
0.9999999994297322,-1.0,4.753424308817087
0.9999999994297322,-1.0,-4.753424308822899
0.9999999994297322,2.0,-4.753424308822899
0.9999999994297322,2.0,-4.753424308822899
0.0,-1.0,0.05860325719412544
0.6214115672692287,-1.0,-4.753424308822899
0.6214115672692287,-1.0,-4.753424308822899
0.9390733136460657,2.0,0.05860325719412544
0.6214115672692287,-1.0,4.753424308817087
0.6214115672692287,-1.0,-4.753424308822899
0.6214115672692287,2.0,0.05860325719412544
0.9390733136460657,-1.0,4.753424308817087
0.9390733136460657,2.0,0.05860325719412544
0.9390733136460657,-1.0,0.30919017730102455
